,X,Y,Facies,Porosity,Perm,AI
93,490.0,300.0,1.0,0.21185591266189446,51.71374900164037,2380.3688930669614
96,490.0,90.0,0.0,0.11297696773835746,6.015813251612491,3445.929731267603
99,560.0,860.0,0.0,0.15298701570609205,10.86885979828339,3354.1281116352357
100,560.0,790.0,0.0,0.11302885616781659,3.5425006057487165,3782.4612740735597
101,560.0,720.0,0.0,0.12271225422047875,1.1243137373614638,5177.812440716219
105,560.0,440.0,1.0,0.14713164363391593,7.95338770226379,3044.6135113140435
109,560.0,160.0,0.0,0.11430625307932668,3.6534327673888645,3775.795181202883
110,560.0,90.0,1.0,0.09096337527760849,95.32753503622808,3807.6117187180653
111,560.0,20.0,1.0,0.146336271079787,62.576351804750274,2306.2940835392064
114,630.0,790.0,1.0,0.1424272161380816,2.795634323994081,3591.454468949495
116,630.0,650.0,1.0,0.13633571031419683,0.15697021901046154,3956.569374283975
119,630.0,440.0,1.0,0.10573708207258123,99.62853196276082,3085.0924311806034
127,700.0,860.0,1.0,0.16228552356310463,2.9209416189809483,3588.6049374050567
133,700.0,440.0,1.0,0.16860947512343782,334.7296737530716,3277.768712424593
136,700.0,230.0,1.0,0.17467094863545124,35.09900304453434,3449.1154472261996
138,700.0,90.0,1.0,0.21099609344815992,58.70093623772882,2328.9840399171535
139,700.0,20.0,1.0,0.18407017191140485,5.24902056056014,1688.7287910998186
141,770.0,860.0,1.0,0.133077501971943,5.329818742042129,3456.4917673005607
149,770.0,300.0,1.0,0.13800723529065978,54.89444664715424,3293.2055585216926
150,770.0,230.0,1.0,0.20352654937934295,54.30751422201928,3249.249833287899
151,770.0,160.0,1.0,0.21050237432206292,317.1238638086555,2539.6771832256513
153,770.0,20.0,1.0,0.16753397593251712,238.4466160610785,2733.4128101820343
154,840.0,930.0,0.0,0.20217630094053,0.06052280309748646,3799.865905322017
157,840.0,720.0,0.0,0.13863714043983041,0.07743292601547155,4047.1291082476
159,840.0,580.0,0.0,0.10640588819603315,21.92739533183576,3395.3519282015222
164,840.0,230.0,1.0,0.14027938264511008,7.668384286242093,2525.2871739303046
167,840.0,20.0,1.0,0.18366293795314262,255.92039290224318,2569.9953471300714
172,910.0,650.0,0.0,0.11459482008928937,10.329281204008755,4078.01198441426
177,910.0,300.0,1.0,0.19946883659362652,187.3250751653929,2947.7892706829743
179,910.0,160.0,1.0,0.2199955296230287,97.61985913783926,2258.949566007602
181,910.0,20.0,1.0,0.21139199320955487,23.876264314530438,2398.99154015944
182,980.0,930.0,0.0,0.12093686771422439,0.3023236464043171,4322.948853100647
184,980.0,790.0,0.0,0.1412016313582023,0.2887816675115172,5186.2913136919315
190,980.0,370.0,1.0,0.12842630470620395,21.546167984664145,4026.6888254498303
192,980.0,230.0,1.0,0.19712366860629144,690.7575936516445,2124.9899242250203
193,980.0,160.0,1.0,0.20994171087106342,34.1876518923639,2402.2052672340437
194,980.0,90.0,1.0,0.2223687475966099,536.2539612185432,2085.5132223606724
195,980.0,20.0,1.0,0.170978118409518,1.0296263218488246,2739.9883473835052
196,850.0,124.0,1.0,0.19588821996358988,296.1406554418136,2235.2364980900934
197,860.0,124.0,1.0,0.17242880541955175,254.18877942358986,1511.8473182869684
199,880.0,124.0,1.0,0.1967615866842713,160.87922587012702,1781.7396677876548
201,860.0,114.0,1.0,0.17995019177802926,100.25049813377822,2262.651302167037
203,880.0,114.0,1.0,0.1984726235019728,123.31512336116448,1189.8579070757687
204,850.0,104.0,1.0,0.18403090285584978,120.86307581257103,1460.8977599207979
205,860.0,104.0,1.0,0.18708206862330268,115.05801731638435,2090.951316069114
207,880.0,104.0,1.0,0.1836966706060426,85.53914960376048,1960.028856497922
215,670.0,809.0,1.0,0.18066678546673628,0.7656856957575495,3391.700984512006
218,260.0,729.0,1.0,0.18822046585799468,2.5681707042339066,3557.5159065676717
219,260.0,559.0,1.0,0.122059309100597,141.7698297967585,3485.4048089294147
221,340.0,369.0,1.0,0.16192473175253766,8.845972886248099,2977.944019403328
225,350.0,129.0,0.0,0.14467485259082452,5.210555737954113,3703.720530329413
229,330.0,119.0,0.0,0.13123485188942444,9.542687958162167,2851.8687329421114
230,150.0,719.0,0.0,0.10726125408161546,0.42898652911980817,4049.823294598589
231,60.0,449.0,0.0,0.12411253670654664,6.888772672106501,3691.60001668814
236,480.0,539.0,0.0,0.10338601326085067,0.8528217323565859,3398.597731150316
237,940.0,639.0,0.0,0.11278498460051066,188.2280959974764,4561.604250281572
240,800.0,89.0,1.0,0.16813609253006265,138.7936825510764,1586.4143207092316
241,430.0,439.0,1.0,0.1480278597539712,1.4291193200896746,2888.4863706387537
243,410.0,559.0,1.0,0.18973237330244186,0.2624488392855248,3668.664754705012
245,780.0,979.0,0.0,0.1118273140861149,3.6814440327596216,4240.584224371033
246,0.0,949.0,1.0,0.13642373038987946,2.752474747885606,4536.067942734835
249,150.0,329.0,0.0,0.1493707933730892,4.518197028150054,3297.6130914684672
251,990.0,629.0,0.0,0.10627117753971234,4.841074503165187,4570.768256106587
256,820.0,729.0,0.0,0.11875586140329777,0.0761082121993417,3907.8241308784363
259,340.0,149.0,0.0,0.13541354689247226,35.398138857002905,4571.5624826435815
262,190.0,109.0,0.0,0.16726295199706892,0.20145372626158287,4226.0071256514975
264,620.0,329.0,1.0,0.1603062618991474,113.6669284161839,2880.749707200455
266,90.0,279.0,1.0,0.16807923727806423,1.7519593848881803,3686.07454768614
267,390.0,39.0,1.0,0.16409484151101023,0.8815202327033873,4051.7963010083654
273,100.0,109.0,0.0,0.14927405303489275,3.1085006283982386,4559.312840648764
276,810.0,169.0,1.0,0.1781526825966625,881.0101265033711,2604.595359617396
277,810.0,319.0,1.0,0.1204332619673148,74.36211651257018,3198.598864574543
279,120.0,99.0,0.0,0.17605215148714146,0.046707210006564456,3648.4241297678172
281,30.0,439.0,1.0,0.0837365229630927,3.581799529853399,3292.3704548035666
282,130.0,779.0,0.0,0.12989627210906474,2.4399849455070277,4181.467104184558
283,880.0,869.0,0.0,0.1391321893678564,0.051277406349059425,4750.345284362617
284,250.0,379.0,1.0,0.15504977170227016,2.2269220074033202,3175.4149380333424
285,640.0,879.0,0.0,0.13159476598929232,6.170939504920399,4367.357968945299
290,460.0,599.0,0.0,0.12414819578216331,0.4278957377793935,3946.100359986902
292,330.0,769.0,1.0,0.17138247466562379,0.8620386654965095,3616.217511526014
294,970.0,789.0,0.0,0.15130229645514248,0.13942512809099378,3897.6060431178385
295,230.0,319.0,1.0,0.16213503807464172,4.203752713166681,3691.795949937662
297,640.0,959.0,0.0,0.1308025413230841,30.798942657351237,4004.885071392342
298,220.0,759.0,1.0,0.18354141408729366,3.2681071008462985,3643.708542574387
299,780.0,889.0,1.0,0.1791203066776324,1.1569001147726565,4105.067635642214
302,590.0,219.0,1.0,0.1867111063229025,12.240046103702767,2522.8049587659325
303,730.0,29.0,1.0,0.17572579593630722,31.95265476030282,2399.367513283919
304,690.0,729.0,1.0,0.174233300332774,15.946023696513288,3835.562722224227
306,470.0,789.0,0.0,0.1337072029114163,6.5895177279079675,3492.002328139046
309,620.0,339.0,1.0,0.17431168160443586,243.5596170751648,2965.901833142001
316,970.0,909.0,0.0,0.14883209723895333,0.3206460843050332,4558.366126154198
318,250.0,529.0,1.0,0.16564315174344366,12.013640416656017,3419.4196165075373
319,870.0,759.0,0.0,0.1956287638049972,2.047467871081358,4446.045445649169
320,620.0,769.0,0.0,0.11599733979257475,24.025320296801226,3971.1585992486303
323,430.0,359.0,1.0,0.21647147367881098,61.697489699929875,2585.353040990438
324,260.0,229.0,0.0,0.11761289590140883,3.5747139133870114,3738.2802949077927
326,610.0,99.0,1.0,0.15140799468422195,27.28688124855463,3548.1440878546823
328,970.0,299.0,1.0,0.14242301935477703,57.452383922400045,2719.898135506401
330,620.0,119.0,1.0,0.1253094242752529,28.45354806551006,2722.4330989866794
332,210.0,929.0,1.0,0.14609733373522613,2.083105404778766,4064.8097433795588
333,330.0,819.0,1.0,0.20731804930809267,15.937004501055702,3571.828974582619
334,510.0,389.0,1.0,0.20878730289888375,287.0674767050942,2457.367785885979
336,410.0,439.0,1.0,0.12833062980618745,0.479023780786422,2771.242349578067
339,240.0,749.0,1.0,0.19422960086629426,0.42596339698908375,3783.8224578438403
341,130.0,399.0,1.0,0.13276163657066467,37.585962132448536,3232.2483784304986
343,840.0,609.0,0.0,0.15086643407104203,31.997881197003668,3710.2539488127345
345,350.0,729.0,1.0,0.13982077945525553,12.61263057237562,3401.1504247996513
346,180.0,759.0,1.0,0.0985036574708299,3.715971845893993,3981.487353877389
347,510.0,559.0,0.0,0.1397162357317122,12.122885025949682,4009.8454879849737
348,880.0,569.0,0.0,0.11926145749960736,6.990855240327228,4390.027431458772
349,500.0,299.0,1.0,0.2393585612173125,812.769218915808,2877.3000200630167
350,60.0,339.0,1.0,0.13723092991236072,304.20703332012044,4257.84067052309
351,720.0,979.0,1.0,0.1694902401985464,14.004319043752673,3429.8934098717614
355,750.0,959.0,1.0,0.1769403502011523,5.88452838601939,3807.7298603193676
357,730.0,179.0,1.0,0.20491362283684333,102.2554310413883,2555.816756282258
359,940.0,369.0,1.0,0.1292627185465147,20.69196750622536,2934.3724308250908
362,640.0,529.0,1.0,0.1462491051492143,1.0505151887048343,3088.399154480058
364,620.0,739.0,0.0,0.1305329845169704,4.108524792162987,4158.1784973646545
365,70.0,349.0,1.0,0.13842793666567707,88.51775155370203,4119.950467104255
366,780.0,169.0,1.0,0.21024051883239359,338.3472891419352,2673.563897463946
367,130.0,699.0,0.0,0.13692492934228692,0.4137311543377844,3525.6586364338873
368,30.0,729.0,1.0,0.1493291420265081,5.80188232478289,4152.747648790041
369,530.0,719.0,0.0,0.0808837694350806,4.185952894391567,3649.4711876652036
370,930.0,879.0,0.0,0.08375223880131813,0.0993483952215859,4005.4370621519874
372,310.0,129.0,1.0,0.1526917258366324,27.00276698437684,3182.7124545217775
374,360.0,629.0,1.0,0.14414470339114427,291.07431431319424,4000.51106844873
375,290.0,619.0,1.0,0.15778089290443742,13.575253707956582,3772.977436407575
376,870.0,659.0,0.0,0.1033974113399653,9.529200134695405,3636.1424969355935
377,120.0,439.0,0.0,0.08980761402610862,16.89809175754172,3083.910062755618
380,140.0,449.0,0.0,0.1612375563308258,45.21160613438084,3290.273133122111
381,300.0,439.0,1.0,0.1891163905964499,83.67240353153701,2737.5698332725665
